"","V1","X.Intercept.","std_EA033","X.Intercept..1","std_EA033.1","V6","n"
"bivariate_line","line_37 ~ std_EA033","0.3","0.23","1.6524723303382e-25","9.02114719118013e-06","-22.5",330
"spatial_line","line_37 ~ std_EA033","0.37","0.16","0","0","-79.6081721233251",330
"phylo_line","line_37 ~ std_EA033","0.29","0.17","1.13979944457067e-17","0.00191340573251441","-77.9037188828363",330
