"","x"
"Model","CV7 ~ EA033"
"N","324"
"Bivariate","0.227\*"
"Language family","0.0989"
"Division","0.151"
"BV:AIC","345.6"
"LF:AIC","315.31"
"DV:AIC","293.77"
