"","x"
"Model","CV23 ~ Class + Caste + Slavery"
"N","288"
"Bivariate","0.127\*; 0.351\*\*\*; 0.0178"
"Language family","0.0835; 0.343\*\*\*; 0.0613"
"Division","0.121\*; 0.279\*\*\*; 0.051"
"BV:AIC","98.28"
"LF:AIC","94.45"
"DV:AIC","35.98"
