"","x"
"Model","Line 10 ~ Subsistence"
"N","241"
"Bivariate","-0.525\*\*\*"
"Language family","-0.483\*\*\*"
"Division","-0.437\*\*\*"
"BV:AIC","102.34"
"LF:AIC","109.67"
"DV:AIC","103.36"
