"","x"
"Model","Line 37 ~ EA033"
"N","324"
"Bivariate","0.239\*\*\*"
"Language family","0.191\*\*\*"
"Division","0.21\*\*\*"
"BV:AIC","-27.59"
"LF:AIC","-77.35"
"DV:AIC","-65.02"
