"","x"
"Model","CV21 ~ EA031"
"N","215"
"Bivariate","-0.229\*\*\*"
"Language family","-0.152\*\*"
"Division","-0.177\*\*\*"
"BV:AIC","-90.18"
"LF:AIC","-90.21"
"DV:AIC","-101.47"
