"","V1","X.Intercept.","std_EA031","X.Intercept..1","std_EA031.1","V6","n"
"bivariate_line","line_21 ~ std_EA031","0.66","-0.2","1.63090676618571e-64","1.35692029556319e-05","-91.5",221
"spatial_line","line_21 ~ std_EA031","0.64","-0.14","0","1","-103.703441679799",221
"phylo_line","line_21 ~ std_EA031","0.65","-0.12","1.26352693406617e-53","0.0106323418217663","-107.681987002001",221
