"","Sigma","%"
"Variations  Between region  ",0.126952063185447,5.14723255257732
"Variations  Between samples Within region",0.529802129417025,21.4806652096435
"Variations  Within samples",1.80965978595149,73.3721022377792
"Total variations",2.46641397855396,100
