"","Sigma","%"
"Variations  Between region  ",14205633.587312,5.1790199345134
"Variations  Between samples Within region",80270965.1634979,29.264793167388
"Variations  Within samples",179815328.427237,65.5561868980987
"Total variations",274291927.178047,100
