soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
30063,35.14,-90.04,Memphis Black,0.08,1.0,0.82,0.25,0.0,0.0,1.0,0.75,1.0,0.25,0.43,0.0,0.5,0.71,0.67,0.25,0.67,0.7,0.0,0.75,0.6,0.0,1.0,0.33,0.75,1.0,1.0,0.8,1.0,0.25,1.0,0.75,0.71,0.83,0.75,0.2,0.75
30067,-14.06,131.98,Jawoyn,0.33,0.62,0.36,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.43,0.14,0.5,0.57,1.0,0.42,0.33,0.6,0.67,0.5,0.4,0.0,0.75,0.67,0.75,0.2,1.0,0.8,1.0,0.75,0.33,0.75,0.43,0.33,0.5,0.6,1.0
30068,-12.03,134.13,Gunbalang,0.42,0.62,0.36,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.43,0.14,0.5,0.86,0.33,0.92,0.83,0.4,0.0,0.75,0.4,0.0,0.75,0.67,0.75,0.4,1.0,1.0,1.0,0.5,1.0,0.5,0.71,0.5,0.5,0.8,0.75
30073,-11.82,133.18,Kunwinjku,0.08,0.75,0.36,0.25,0.0,0.0,0.5,0.5,0.75,0.5,0.86,0.0,0.17,0.57,0.0,0.83,0.33,1.0,0.0,0.5,0.4,0.0,1.0,0.83,0.5,1.0,1.0,0.8,1.0,0.5,1.0,0.75,0.14,0.0,0.25,0.2,0.75
30074,-14.14,129.31,Magatige,0.08,0.12,0.36,0.75,0.5,0.75,0.5,1.0,0.75,0.75,0.43,0.14,0.17,0.14,0.33,0.92,0.17,0.9,0.0,0.75,0.4,0.0,1.0,0.83,0.75,1.0,1.0,0.4,1.0,0.75,1.0,0.5,0.71,0.33,0.25,0.2,0.75
30075,40.56,15.49,Caggiano,0.08,,0.36,0.25,0.0,0.0,1.0,0.75,0.75,0.0,1.0,0.0,0.5,1.0,0.33,0.92,0.67,1.0,0.0,0.5,0.4,0.0,0.25,0.33,0.75,0.0,0.0,0.8,0.5,0.0,0.33,0.5,0.43,0.33,0.25,0.2,0.25
30076,-14.52,132.86,Rembarrnga,0.08,0.62,0.36,0.75,0.25,0.25,0.25,1.0,1.0,0.0,1.0,0.43,0.17,0.14,1.0,0.83,0.67,0.9,0.67,0.75,0.2,0.0,1.0,0.33,0.25,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.14,0.33,0.25,0.8,0.75
30077,-11.52,131.03,Tunuvivi,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67,0.75,0.33,0.9,0.33,0.25,0.2,0.0,0.5,0.67,0.5,0.0,1.0,0.4,1.0,0.0,1.0,0.5,0.14,0.0,0.0,0.6,0.75
30079,-16.93,146.0,Yidinji,0.08,0.12,0.09,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.43,0.0,0.5,0.0,0.67,0.83,0.33,0.9,0.0,0.25,0.2,0.0,0.5,0.67,0.25,1.0,1.0,0.4,0.5,0.75,1.0,0.75,0.43,0.33,0.25,0.8,0.5
30080,-12.64,136.15,Yolngu,0.08,0.62,0.09,0.25,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.17,0.0,0.67,0.83,0.17,1.0,0.0,0.75,0.4,0.0,0.5,0.33,0.5,0.0,1.0,0.4,1.0,0.5,1.0,0.75,0.0,0.0,0.25,0.6,0.75
30084,-11.38,133.22,Maung,0.42,0.62,0.36,0.5,0.5,0.75,1.0,0.75,1.0,0.75,0.43,0.14,0.5,0.86,0.33,0.92,0.17,1.0,0.0,0.75,0.4,0.0,0.75,0.33,0.75,1.0,1.0,0.4,1.0,0.75,1.0,0.5,0.14,0.33,0.25,0.6,0.75
30085,46.68,-1.13,Vendée,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.67,0.17,0.33,0.3,0.67,0.5,0.4,0.0,0.75,0.67,0.5,0.4,1.0,0.8,1.0,0.0,1.0,0.5,0.43,0.33,0.5,0.6,0.5
30087,38.65,-123.33,Kashia Band Pomo,0.42,0.25,0.36,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.43,0.14,0.17,0.14,0.67,0.83,0.67,1.0,0.0,0.5,0.6,0.0,0.75,0.33,0.5,1.0,1.0,0.8,1.0,0.75,0.33,0.5,0.43,0.33,0.25,0.6,0.75
30088,42.97,47.51,Dagestan,0.92,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.25,0.86,0.57,0.0,0.0,1.0,0.42,0.33,0.4,0.0,0.5,0.4,0.2,1.0,0.67,0.5,0.4,1.0,0.8,1.0,0.25,1.0,1.0,0.71,0.33,0.75,0.6,0.5
30090,47.92,23.49,Maramureș,0.5,0.25,0.36,0.75,0.25,0.25,1.0,0.5,0.75,0.25,0.86,0.43,0.83,0.57,0.67,0.83,0.33,1.0,0.67,0.25,0.4,0.0,0.75,0.67,1.0,0.0,1.0,0.4,1.0,0.25,0.33,0.5,0.71,0.5,0.5,0.6,1.0
30095,4.54,116.31,Tagal Murut,0.42,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.75,0.43,0.14,0.0,0.0,0.67,0.83,0.67,1.0,0.0,0.75,0.6,0.2,0.5,0.67,0.5,1.0,1.0,0.8,1.0,0.75,1.0,0.75,0.43,0.33,0.25,0.6,0.5
30098,-9.4,142.69,Saibai Islanders,0.42,0.12,0.09,1.0,0.75,0.75,0.25,0.0,0.0,0.75,0.43,0.14,0.17,0.0,0.67,0.42,0.33,1.0,0.67,0.75,0.6,0.4,1.0,0.17,0.5,1.0,1.0,0.4,0.5,0.75,1.0,0.75,0.71,0.83,0.5,0.8,1.0
30099,13.08,80.27,Tamil,0.08,0.62,0.27,0.25,0.0,0.0,1.0,0.5,1.0,0.0,0.57,0.0,0.67,0.71,0.67,0.0,0.17,0.0,0.67,0.75,0.2,0.0,0.25,0.33,0.25,1.0,1.0,0.8,0.5,0.0,1.0,0.75,0.14,0.33,0.25,0.6,0.25
