"","Df","Sum Sq","Mean Sq"
"Between region  ",1,17.4519383590229,17.4519383590229
"Between samples Within region",21,116.480861886142,5.54670770886392
"Within samples",146,264.210328748918,1.80965978595149
"Total",168,398.143128994083,2.36989957734573
