,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,lat,lng
15,176,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,0.77,1.0,0.54,0.77,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.15,0.31,0.08,0.69,0.54,0.77,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.77,0.62,0.31,0.31,0.31,0.77,35.06,-108.84
16,177,A:shiwi (Zuni),29371,0.46,0.23,0.46,0.54,0.54,1.0,0.54,1.0,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.08,0.08,0.08,0.08,0.54,0.77,0.08,0.77,0.69,0.77,1.0,1.0,0.38,1.0,0.77,0.08,0.77,0.62,0.54,0.31,0.31,0.77,35.06,-108.84
17,2246,A:shiwi (Zuni),29371,0.46,0.08,0.08,0.54,0.77,1.0,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.23,0.31,0.08,0.08,0.77,0.77,0.08,0.77,0.69,0.31,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.62,0.31,0.77,0.77,0.54,35.06,-108.84
18,2248,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,0.77,1.0,0.54,0.54,1.0,0.77,0.85,0.23,0.23,0.23,0.69,0.23,0.54,0.08,0.31,0.77,0.77,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.77,0.62,0.54,0.54,0.54,0.54,35.06,-108.84
19,2249,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,1.0,1.0,0.54,0.77,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.08,0.31,0.08,0.31,0.77,0.77,0.08,0.77,0.69,0.31,1.0,1.0,0.69,0.54,0.77,1.0,0.54,0.46,0.54,0.54,0.54,0.54,35.06,-108.84
20,2250,A:shiwi (Zuni),29371,0.46,0.15,0.15,0.54,0.77,1.0,0.31,0.08,0.08,0.31,0.85,0.23,0.85,0.08,0.69,0.23,0.54,0.08,0.08,0.54,0.77,0.08,0.77,0.69,0.31,1.0,1.0,1.0,1.0,0.31,1.0,0.77,0.46,0.31,0.54,0.77,0.54,35.06,-108.84
21,2251,A:shiwi (Zuni),29371,0.46,0.15,0.15,0.54,0.54,1.0,0.31,0.08,0.08,0.77,0.85,0.23,0.69,0.23,0.69,0.08,0.54,0.62,0.85,0.77,0.77,0.08,0.54,0.69,0.31,0.69,0.69,0.38,1.0,0.77,1.0,0.54,0.46,0.54,0.54,0.54,0.54,35.06,-108.84
22,2252,A:shiwi (Zuni),29371,0.46,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.08,0.77,0.08,0.69,0.77,0.77,0.08,1.0,0.69,0.31,1.0,1.0,0.69,0.54,0.31,1.0,0.31,0.46,0.77,0.54,0.77,0.77,35.06,-108.84
23,9747,A·chik Mande,15709,0.15,0.23,0.92,0.31,0.08,0.08,1.0,0.31,0.77,0.31,1.0,0.08,0.46,0.85,1.0,0.54,0.77,0.85,0.08,0.54,0.31,0.08,0.54,0.85,0.31,0.69,0.69,0.38,0.08,0.31,0.54,0.54,0.23,0.54,0.31,0.54,0.31,24.68,90.09
24,9749,A·chik Mande,15709,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,1.0,0.08,0.08,0.08,0.69,0.77,0.77,0.85,0.69,0.54,0.77,0.08,0.77,0.69,0.31,0.08,0.08,0.38,0.54,0.31,1.0,0.77,0.46,0.31,0.08,0.54,0.31,24.68,90.09
25,9751,A·chik Mande,15709,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,0.85,0.08,0.85,0.08,0.69,0.46,0.77,0.38,0.69,0.77,0.54,0.08,1.0,0.69,0.54,0.69,0.69,0.69,0.54,0.54,1.0,0.54,0.23,0.31,0.31,0.54,0.31,24.68,90.09
26,9752,A·chik Mande,15709,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.85,0.08,0.85,0.08,0.69,0.38,0.77,0.38,0.08,0.54,0.54,0.08,1.0,0.69,0.54,1.0,1.0,1.0,0.54,0.31,1.0,0.54,0.23,0.31,0.31,0.54,0.31,24.68,90.09
27,9748,A·chik Mande,15709,0.31,0.23,0.92,0.31,0.08,0.08,1.0,0.54,0.77,0.31,1.0,0.0,0.46,0.85,0.08,0.54,0.54,0.85,0.08,0.54,0.31,0.08,0.31,0.85,0.54,0.69,0.69,1.0,0.54,0.31,0.54,0.54,0.46,0.31,0.77,0.54,0.31,24.68,90.09
28,9750,A·chik Mande,15709,0.46,1.0,0.92,0.54,0.77,0.77,1.0,0.54,0.77,0.54,0.46,0.23,0.46,0.69,0.69,0.46,0.77,0.23,0.85,0.77,0.54,0.08,0.08,0.69,0.31,0.69,0.69,0.69,1.0,0.54,1.0,0.77,0.46,0.77,0.77,0.77,0.31,24.68,90.09
29,30071,Aari,30016,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.69,1.0,1.0,1.0,1.0,1.0,0.08,0.54,0.77,1.0,1.0,0.85,0.54,0.69,0.69,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,1.0,1.0,5.78,36.57
30,30072,Aari,30016,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.69,1.0,1.0,1.0,1.0,1.0,0.08,1.0,0.77,1.0,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,1.0,1.0,5.78,36.57
31,30074,Aari,30016,1.0,0.15,0.46,1.0,1.0,1.0,0.54,1.0,0.77,1.0,0.69,1.0,0.69,0.23,1.0,1.0,1.0,1.0,0.08,1.0,0.77,1.0,1.0,0.85,0.77,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.77,1.0,1.0,1.0,1.0,5.78,36.57
32,30069,Aari,30016,1.0,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.77,0.69,1.0,0.23,0.23,1.0,1.0,1.0,1.0,0.69,0.77,0.54,1.0,1.0,0.85,0.54,1.0,1.0,1.0,1.0,0.77,1.0,0.77,0.77,1.0,1.0,0.77,1.0,5.78,36.57
33,30070,Aari,30016,1.0,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.77,0.69,1.0,0.69,0.23,1.0,1.0,1.0,1.0,0.69,0.77,0.54,1.0,1.0,0.85,0.54,1.0,1.0,1.0,1.0,0.77,1.0,0.77,0.77,1.0,1.0,0.77,1.0,5.78,36.57
34,30073,Aari,30016,1.0,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,0.77,0.46,1.0,0.08,0.08,1.0,1.0,0.77,1.0,0.08,1.0,0.54,1.0,1.0,0.69,1.0,1.0,1.0,1.0,0.08,0.77,1.0,0.54,0.77,1.0,1.0,0.54,1.0,5.78,36.57
35,30117,Abaluhya,10027,0.15,0.92,0.85,0.31,0.08,0.08,1.0,0.77,1.0,0.54,0.69,0.08,0.69,0.54,0.69,0.62,0.77,1.0,0.31,0.54,0.31,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.62,1.0,1.0,0.54,0.54,-1.29,36.82
36,4430,Abaluhya,10027,0.38,1.0,0.85,0.54,0.54,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.85,0.85,0.69,0.23,0.77,0.23,0.31,0.54,0.54,0.08,1.0,0.85,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.62,0.31,0.31,0.77,0.31,-1.29,36.82
37,30115,Abaluhya,10027,0.46,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.23,1.0,0.08,0.31,0.54,0.54,0.62,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.62,1.0,0.77,0.77,0.77,-1.29,36.82
