,Unnamed: 0,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,orv_1,orv_2,ensemble_value_id,ensemble_value_label,instrument_value_id,instrument_value_label
10,10,30127,'Are'are,10000,0.65,0.23,0.46,1.0,0.54,0.77,0.54,1.0,0.54,0.54,0.46,0.77,0.23,0.23,0.69,0.38,0.77,0.69,0.08,0.54,0.77,1.0,1.0,0.69,0.31,0.69,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.77,0.77,0.77,2.0,1.0,,,,
11,11,30126,'Are'are,10000,0.62,0.69,0.46,1.0,0.54,0.31,0.54,1.0,0.77,0.54,0.85,1.0,0.46,0.23,0.69,0.85,0.54,1.0,0.08,0.77,1.0,1.0,0.77,0.69,0.77,0.38,1.0,0.38,0.08,0.54,0.54,0.54,0.62,0.54,0.77,0.77,0.77,2.0,1.0,,,,
12,12,30128,'Are'are,10000,0.62,0.69,0.46,1.0,0.54,0.31,0.54,1.0,1.0,0.54,0.85,1.0,0.46,0.23,0.69,0.85,0.77,1.0,0.08,0.54,0.54,0.62,0.77,0.69,0.54,0.38,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.77,0.77,0.77,2.0,1.0,,,,
13,13,175,A:shiwi (Zuni),29371,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,1.0,0.08,1.0,0.08,0.08,0.54,1.0,0.08,1.0,0.38,0.31,0.38,1.0,0.38,0.54,0.54,1.0,0.77,0.62,0.54,0.77,0.77,0.31,1.0,0.0,,,,
14,14,2247,A:shiwi (Zuni),29371,0.38,0.15,0.46,0.54,0.77,1.0,0.54,0.54,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.23,0.77,0.08,0.31,0.77,0.77,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,1.0,0.62,0.54,0.54,0.31,0.54,4.0,2.0,1.0,All singers play instruments,2.0,1 kind of instrument
15,15,176,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,0.77,1.0,0.54,0.77,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.15,0.31,0.08,0.69,0.54,0.77,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.77,0.62,0.31,0.31,0.31,0.77,4.0,2.0,1.0,All singers play instruments,2.0,1 kind of instrument
16,16,177,A:shiwi (Zuni),29371,0.46,0.23,0.46,0.54,0.54,1.0,0.54,1.0,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.08,0.08,0.08,0.08,0.54,0.77,0.08,0.77,0.69,0.77,1.0,1.0,0.38,1.0,0.77,0.08,0.77,0.62,0.54,0.31,0.31,0.77,7.0,0.0,,,,
17,17,2246,A:shiwi (Zuni),29371,0.46,0.08,0.08,0.54,0.77,1.0,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.23,0.31,0.08,0.08,0.77,0.77,0.08,0.77,0.69,0.31,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.62,0.31,0.77,0.77,0.54,6.0,0.0,,,,
18,18,2248,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,0.77,1.0,0.54,0.54,1.0,0.77,0.85,0.23,0.23,0.23,0.69,0.23,0.42,0.08,0.31,0.77,0.77,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.77,0.62,0.54,0.54,0.54,0.54,4.0,2.0,1.0,All singers play instruments,2.0,1 kind of instrument
19,19,2249,A:shiwi (Zuni),29371,0.46,0.15,0.46,0.54,1.0,1.0,0.54,0.77,1.0,0.77,0.85,0.23,0.23,0.23,0.38,0.08,0.31,0.08,0.31,0.77,0.77,0.08,0.77,0.69,0.31,1.0,1.0,0.69,0.54,0.77,1.0,0.54,0.46,0.54,0.54,0.54,0.54,4.0,2.0,1.0,All singers play instruments,2.0,1 kind of instrument
20,20,2250,A:shiwi (Zuni),29371,0.46,0.15,0.15,0.54,0.77,1.0,0.31,0.08,0.08,0.31,0.85,0.23,0.85,0.08,0.69,0.23,0.42,0.08,0.08,0.54,0.77,0.08,0.77,0.69,0.31,1.0,1.0,1.0,1.0,0.31,1.0,0.77,0.46,0.31,0.54,0.77,0.54,4.0,1.0,,,1.0,No instruments
21,21,2251,A:shiwi (Zuni),29371,0.46,0.15,0.15,0.54,0.54,1.0,0.31,0.08,0.08,0.77,0.85,0.23,0.69,0.23,0.69,0.08,0.54,0.62,0.85,0.77,0.77,0.08,0.54,0.69,0.31,0.69,0.69,0.38,1.0,0.77,1.0,0.54,0.46,0.54,0.54,0.54,0.54,5.0,1.0,,,1.0,No instruments
22,22,2252,A:shiwi (Zuni),29371,0.46,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.08,0.77,0.08,0.69,0.77,0.77,0.08,1.0,0.69,0.31,1.0,1.0,0.69,0.54,0.31,1.0,0.31,0.46,0.77,0.54,0.77,0.77,5.0,0.0,,,,
23,23,9747,A·chik Mande,15709,0.15,0.23,0.92,0.31,0.08,0.08,1.0,0.31,0.77,0.31,0.92,0.08,0.46,0.85,0.85,0.54,0.77,0.85,0.08,0.54,0.31,0.08,0.54,0.85,0.31,0.69,0.69,0.38,0.08,0.31,0.54,0.54,0.23,0.54,0.31,0.54,0.31,1.0,4.0,4.0,Some singers play instruments,4.0,3 kinds of instruments
24,24,9749,A·chik Mande,15709,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,1.0,0.08,0.08,0.08,0.69,0.77,0.77,0.85,0.69,0.54,0.77,0.08,0.77,0.69,0.31,0.08,0.08,0.38,0.54,0.31,1.0,0.77,0.46,0.31,0.08,0.54,0.31,1.0,0.0,,,,
25,25,9751,A·chik Mande,15709,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,0.85,0.08,0.85,0.08,0.69,0.46,0.77,0.38,0.69,0.77,0.54,0.08,1.0,0.69,0.54,0.69,0.69,0.69,0.54,0.54,1.0,0.54,0.23,0.31,0.31,0.54,0.31,1.0,1.0,,,1.0,No instruments
26,26,9752,A·chik Mande,15709,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.85,0.08,0.85,0.08,0.69,0.38,0.77,0.38,0.08,0.54,0.54,0.08,1.0,0.69,0.54,1.0,1.0,1.0,0.54,0.31,1.0,0.54,0.23,0.31,0.31,0.54,0.31,1.0,1.0,,,1.0,No instruments
27,27,9748,A·chik Mande,15709,0.31,0.23,0.92,0.31,0.08,0.08,1.0,0.54,0.77,0.31,0.92,0.0,0.46,0.85,0.08,0.54,0.54,0.85,0.08,0.54,0.31,0.08,0.31,0.85,0.54,0.69,0.69,1.0,0.54,0.31,0.54,0.54,0.46,0.31,0.77,0.54,0.31,3.0,4.0,3.0,Ensemble 3,4.0,3 kinds of instruments
28,28,9750,A·chik Mande,15709,0.46,1.0,0.92,0.54,0.77,0.77,1.0,0.54,0.77,0.54,0.46,0.23,0.46,0.69,0.69,0.46,0.77,0.23,0.85,0.77,0.54,0.08,0.08,0.69,0.31,0.69,0.69,0.69,1.0,0.54,1.0,0.77,0.46,0.77,0.77,0.77,0.31,2.0,3.0,4.0,Some singers play instruments,3.0,2 kinds of instruments
29,29,30071,Aari,30016,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.69,1.0,1.0,1.0,1.0,1.0,0.08,0.54,0.77,1.0,1.0,0.85,0.54,0.69,0.69,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,1.0,1.0,0.0,1.0,,,,
30,30,30072,Aari,30016,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.69,1.0,1.0,1.0,1.0,1.0,0.08,1.0,0.77,1.0,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,1.0,1.0,0.0,1.0,,,,
31,31,30074,Aari,30016,1.0,0.15,0.46,1.0,1.0,1.0,0.54,1.0,0.77,1.0,0.69,1.0,0.69,0.23,1.0,1.0,1.0,1.0,0.08,1.0,0.77,1.0,1.0,0.85,0.77,1.0,1.0,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,1.0,1.0,0.0,0.0,,,,
32,32,30069,Aari,30016,0.92,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.77,0.69,0.92,0.23,0.23,1.0,1.0,1.0,1.0,0.69,0.77,0.54,1.0,0.77,0.85,0.54,1.0,1.0,1.0,1.0,0.77,1.0,0.65,0.62,0.77,1.0,0.77,1.0,0.0,1.0,,,,
33,33,30070,Aari,30016,0.92,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.77,0.69,0.92,0.69,0.23,1.0,1.0,1.0,1.0,0.69,0.77,0.54,1.0,0.77,0.85,0.54,1.0,1.0,1.0,0.54,0.77,1.0,0.65,0.62,0.77,1.0,0.77,1.0,0.0,1.0,,,,
34,34,30073,Aari,30016,0.96,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,0.77,0.46,0.62,0.08,0.08,1.0,0.96,0.77,1.0,0.08,1.0,0.54,1.0,1.0,0.69,1.0,1.0,1.0,1.0,0.08,0.77,1.0,0.42,0.77,1.0,1.0,0.54,1.0,2.0,1.0,,,,
35,35,30117,Abaluhya,10027,0.15,0.54,0.85,0.31,0.08,0.08,1.0,0.77,1.0,0.54,0.69,0.08,0.46,0.54,0.69,0.62,0.77,1.0,0.31,0.54,0.31,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.62,1.0,1.0,0.54,0.54,2.0,1.0,,,,
36,36,4430,Abaluhya,10027,0.38,1.0,0.85,0.54,0.54,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.85,0.85,0.69,0.23,0.77,0.23,0.31,0.54,0.54,0.08,1.0,0.85,0.42,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.62,0.31,0.31,0.77,0.31,2.0,4.0,3.0,Ensemble 3,4.0,3 kinds of instruments
37,37,30115,Abaluhya,10027,0.46,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.23,0.77,0.08,0.31,0.54,0.54,0.62,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.62,1.0,0.77,0.77,0.77,2.0,1.0,,,,
38,38,4431,Abaluhya,10027,0.38,1.0,0.85,0.54,0.54,0.77,1.0,0.77,0.77,0.77,0.46,0.23,0.46,0.85,0.0,0.46,0.77,0.62,0.08,0.54,0.54,0.08,1.0,0.85,0.54,1.0,1.0,0.69,0.54,0.77,1.0,0.77,0.46,0.42,0.31,0.77,0.77,2.0,3.0,2.0,Most singers play instruments,4.0,3 kinds of instruments
39,39,4428,Abaluhya,10027,0.62,0.15,0.85,0.54,0.54,0.77,1.0,0.31,0.77,0.0,0.85,0.23,0.46,0.85,0.69,0.15,0.77,0.08,0.31,0.31,0.77,0.08,1.0,0.85,0.31,1.0,1.0,1.0,1.0,0.0,1.0,0.77,0.46,0.31,0.31,0.77,0.77,3.0,3.0,2.0,Most singers play instruments,3.0,2 kinds of instruments
40,40,4429,Abaluhya,10027,0.62,1.0,0.85,0.54,0.54,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.46,0.85,0.69,0.69,0.77,0.85,0.31,0.31,0.54,0.08,1.0,0.85,0.31,1.0,1.0,1.0,0.54,0.54,1.0,0.77,0.62,0.31,0.42,0.77,0.77,2.0,3.0,3.0,Ensemble 3,5.0,4 kinds of instruments
41,41,30116,Abaluhya,10027,0.62,0.15,0.46,0.54,1.0,1.0,0.54,1.0,1.0,0.77,0.69,0.23,0.23,0.23,0.69,0.38,0.77,0.38,0.31,0.77,0.77,0.08,0.88,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.77,1.0,0.77,0.54,0.77,2.0,1.0,,,,
42,42,30118,Abaluhya,10027,0.62,0.15,0.46,0.54,1.0,1.0,0.54,1.0,1.0,0.54,0.69,0.23,0.46,0.54,1.0,0.54,0.65,0.85,0.08,0.77,0.54,0.08,0.77,0.85,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.42,0.62,1.0,0.77,0.54,0.54,2.0,1.0,,,,
43,43,30119,Abaluhya,10027,0.62,0.92,0.92,0.54,1.0,1.0,1.0,0.54,1.0,0.54,0.85,0.23,0.85,0.54,0.69,0.23,0.54,0.08,0.08,0.77,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.69,0.54,0.54,1.0,0.54,0.62,1.0,0.77,0.31,0.54,2.0,1.0,,,,
44,44,2216,Abelam,10033,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,1.0,0.08,1.0,0.23,0.08,0.31,0.54,0.08,0.77,0.08,0.77,0.08,1.0,0.69,1.0,0.08,1.0,0.54,0.46,0.31,0.08,0.54,0.77,1.0,0.0,,,,
45,45,2211,Abelam,10033,0.38,0.23,0.46,0.54,0.54,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.23,0.69,0.08,0.08,0.08,0.08,0.54,0.77,0.08,1.0,0.38,0.77,0.08,0.38,0.08,1.0,0.54,1.0,0.54,0.62,0.77,0.54,0.54,0.77,8.0,8.0,1.0,All singers play instruments,2.0,1 kind of instrument
46,46,2214,Abelam,10033,0.46,0.08,0.08,0.88,0.54,1.0,0.08,0.08,0.08,1.0,1.0,0.23,0.08,0.08,0.69,0.08,0.54,0.08,0.31,0.77,0.77,0.46,1.0,0.69,0.77,0.08,1.0,0.08,0.08,1.0,1.0,0.77,0.62,0.77,0.31,0.77,1.0,3.0,3.0,,,1.0,No instruments
47,47,2218,Abelam,10033,0.46,0.69,0.38,0.54,0.54,1.0,1.0,0.77,0.77,0.77,1.0,0.23,0.85,0.54,0.69,0.54,0.08,1.0,0.69,0.54,0.77,0.08,0.77,0.08,1.0,0.08,1.0,0.08,0.08,0.77,1.0,0.42,0.46,0.31,0.08,0.77,1.0,7.0,4.0,1.0,All singers play instruments,2.0,1 kind of instrument
48,48,9150,Abelam,10033,0.46,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.77,0.85,0.31,0.54,1.0,0.08,1.0,0.69,0.54,0.69,1.0,0.38,0.54,0.54,0.54,0.31,0.81,0.54,0.77,0.77,1.0,4.0,0.0,,,,
49,49,2210,Abelam,10033,0.62,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.54,1.0,1.0,0.08,0.08,0.69,0.08,0.31,0.08,0.69,0.77,0.77,0.62,1.0,0.08,0.77,0.08,1.0,0.08,1.0,0.54,1.0,0.31,0.46,0.77,0.31,0.77,1.0,8.0,0.0,,,,
50,50,2219,Abelam,10033,0.62,0.69,0.46,0.54,0.54,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.38,0.69,0.08,0.31,0.08,0.08,0.54,0.54,0.08,1.0,0.38,0.77,0.08,0.38,0.38,1.0,0.54,1.0,0.54,0.46,0.54,0.54,0.31,1.0,4.0,4.0,1.0,All singers play instruments,1.0,No instruments
51,51,2213,Abelam,10033,0.65,0.23,0.46,1.0,1.0,1.0,0.54,1.0,0.77,0.77,0.92,0.23,0.23,0.23,0.69,0.08,0.77,0.08,0.69,0.77,0.77,0.23,1.0,0.69,0.77,0.08,0.69,0.38,1.0,0.77,1.0,0.54,0.62,0.77,0.54,0.54,0.77,8.0,8.0,1.0,All singers play instruments,2.0,1 kind of instrument
52,52,2217,Abelam,10033,0.85,0.46,0.62,0.08,0.54,0.08,0.54,1.0,0.54,0.77,1.0,0.08,1.0,0.38,1.0,1.0,0.77,1.0,0.08,0.31,0.31,0.08,1.0,0.08,1.0,0.08,0.08,0.08,0.08,0.77,1.0,0.31,0.46,0.31,0.31,0.31,1.0,6.0,3.0,1.0,All singers play instruments,1.0,No instruments
53,53,2212,Abelam,10033,0.92,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,1.0,0.23,0.08,0.08,0.69,0.08,0.77,0.08,0.69,0.54,0.54,0.08,1.0,0.23,0.77,0.08,1.0,0.08,1.0,0.54,1.0,1.0,0.62,0.77,0.31,0.31,1.0,8.0,0.0,,,,
54,54,2220,Abelam,10033,0.92,0.23,0.46,0.54,0.31,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.23,0.69,0.08,0.08,0.08,0.69,0.77,0.31,0.08,1.0,0.23,1.0,0.08,0.38,0.38,0.54,0.54,1.0,0.31,0.46,0.31,0.08,0.08,1.0,8.0,6.0,1.0,All singers play instruments,1.0,No instruments
55,55,2209,Abelam,10033,0.77,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.77,1.0,1.0,0.08,0.08,0.69,0.08,0.08,0.08,0.08,0.77,1.0,1.0,1.0,0.23,0.77,0.08,1.0,0.08,0.54,0.77,1.0,0.77,0.46,0.77,0.31,0.77,1.0,8.0,0.0,,,,
56,56,2304,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.08,0.77,0.77,0.08,0.77,0.69,0.54,0.69,1.0,1.0,1.0,0.08,0.54,0.77,0.77,0.54,0.54,0.31,0.31,1.0,0.0,,,,
57,57,9332,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.92,0.54,1.0,0.31,0.54,1.0,0.08,1.0,0.69,0.54,0.69,0.08,0.69,0.54,0.08,1.0,0.54,0.46,0.54,0.31,0.77,0.31,1.0,0.0,,,,
58,58,9410,Aberdeen,25071,0.15,0.15,0.15,0.08,0.08,0.08,0.31,0.08,0.08,0.08,0.85,0.08,0.85,0.54,0.69,0.38,0.54,0.46,0.69,0.77,0.54,0.08,1.0,0.38,0.54,1.0,1.0,1.0,1.0,0.08,1.0,0.42,0.46,0.54,0.54,0.54,0.31,1.0,1.0,,,1.0,No instruments
59,59,9474,Aberdeen,25071,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.62,0.69,0.54,0.54,0.08,1.0,0.69,0.31,0.69,0.08,1.0,1.0,0.08,1.0,0.54,0.46,0.77,0.31,0.77,0.08,1.0,0.0,,,,
60,60,4154,Abkhazia,10055,0.69,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.54,0.46,0.23,0.23,0.23,0.69,0.92,1.0,0.85,0.31,0.77,0.54,0.77,1.0,0.69,0.88,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.77,1.0,0.77,0.31,0.31,7.0,7.0,1.0,All singers play instruments,1.0,No instruments
61,61,4155,Abkhazia,10055,0.85,0.23,0.46,1.0,1.0,1.0,0.54,1.0,1.0,1.0,0.46,0.54,0.23,0.23,0.69,0.77,1.0,1.0,0.31,0.77,0.54,0.77,0.77,0.85,0.77,1.0,1.0,0.69,0.54,1.0,1.0,0.77,0.77,1.0,0.54,0.77,0.77,8.0,8.0,1.0,All singers play instruments,1.0,No instruments
62,62,2664,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.85,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.31,0.77,1.0,0.08,0.77,0.23,0.54,0.69,1.0,0.38,0.54,0.08,1.0,0.77,0.46,0.31,1.0,0.54,0.31,1.0,0.0,,,,
63,63,2665,Acadien,22826,0.15,0.15,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.08,0.85,0.08,0.85,0.08,0.69,0.46,0.77,0.46,0.08,0.54,0.77,0.08,1.0,0.38,0.54,1.0,1.0,1.0,1.0,0.08,1.0,0.54,0.46,0.54,0.31,0.54,0.31,1.0,1.0,,,1.0,No instruments
64,64,2666,Acadien,22826,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,0.46,0.08,0.85,0.08,0.69,0.46,0.54,0.46,0.31,0.77,1.0,0.08,0.54,0.38,0.77,0.38,0.38,0.38,0.54,0.08,0.54,0.77,0.46,0.31,0.31,0.31,0.54,1.0,1.0,,,1.0,No instruments
65,65,2667,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.08,0.54,1.0,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.31,1.0,0.54,0.62,0.54,0.54,0.54,0.31,1.0,0.0,,,,
66,66,2668,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.46,0.08,0.08,0.08,0.69,0.46,0.77,0.23,0.31,0.77,0.54,0.08,0.77,0.69,0.54,1.0,1.0,0.69,1.0,0.31,1.0,0.77,0.46,0.31,0.54,0.54,0.54,1.0,0.0,,,,
67,67,9336,Acadien,22826,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.46,0.77,0.46,0.31,0.77,0.77,0.0,1.0,0.85,0.54,0.69,0.08,1.0,1.0,0.54,1.0,0.54,0.46,0.77,0.54,0.54,0.31,1.0,0.0,,,,
68,68,2663,Acadien,22826,0.38,0.15,0.15,1.0,0.31,0.31,1.0,0.08,0.08,0.31,0.46,0.23,0.46,0.08,0.69,0.46,0.54,0.38,0.85,1.0,0.77,0.77,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.31,1.0,0.77,0.62,0.54,0.31,0.31,0.31,6.0,1.0,,,1.0,No instruments
69,69,1936,Acoli,10099,0.15,1.0,0.92,0.31,0.08,0.08,1.0,1.0,1.0,0.54,0.85,0.08,0.46,0.85,0.69,0.54,1.0,0.85,0.08,0.77,0.77,0.08,1.0,1.0,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.31,0.62,0.54,0.54,0.31,0.77,1.0,6.0,1.0,All singers play instruments,5.0,4 kinds of instruments
70,70,1935,Acoli,10099,0.77,0.92,0.38,0.54,1.0,1.0,1.0,0.77,1.0,0.77,0.46,0.23,0.46,0.54,0.69,0.77,0.54,1.0,0.31,0.77,1.0,0.08,0.77,0.85,0.54,1.0,1.0,0.69,0.54,0.77,1.0,0.77,0.62,0.31,0.54,0.54,0.77,5.0,3.0,1.0,All singers play instruments,2.0,1 kind of instrument
71,71,1934,Acoli,10099,0.69,0.15,0.38,0.54,1.0,1.0,0.54,0.77,1.0,0.54,0.85,0.23,0.46,0.54,0.69,0.46,0.54,0.38,0.31,0.77,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.77,5.0,3.0,1.0,All singers play instruments,2.0,1 kind of instrument
72,72,1933,Acoli,10099,0.85,1.0,0.92,0.54,0.77,1.0,1.0,0.77,1.0,0.54,0.85,0.23,0.46,0.85,0.69,0.77,0.54,1.0,0.08,0.31,0.54,0.08,1.0,0.85,0.54,1.0,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.77,8.0,5.0,1.0,All singers play instruments,3.0,2 kinds of instruments
