"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col"
"328",NA,NA,17106,NA,"ibal1244",NA,1024,128,2,16.43,120.69,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"329",NA,NA,17150,NA,"ilok1237",NA,2,16,2,15.94,120.99,"#F1635B",NA,"#F6C3C3","#88C1CA"
"330","Eg10","xd673",17183,"Telugu","telu1262","5",2,16,2,14.79,77.26,"#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"331",NA,NA,17194,NA,"cari1275",NA,128,128,2,10.45,-61.28,"#88C1CA",NA,"#88C1CA","#88C1CA"
"332",NA,NA,17227,NA,"ingu1240",NA,1024,16,2,42.95,44.16,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"333",NA,NA,17232,NA,"baff1241",NA,8192,8192,8192,62.17,-75.61,"#C52B2F",NA,"#C52B2F",NA
"334","Na43","xd1060",17234,"Netsilik","nets1241","1",8192,8192,8192,68.53,-89.83,"#C52B2F","#5E9AC4","#C52B2F",NA
"335","Na22","xd1025",17236,"Iglulik Inuit","west2618","1",8192,16,2,62.21,-67.72,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"336",NA,NA,17249,NA,"fars1255",NA,2,16,2,32.43,53.69,"#F1635B",NA,"#F6C3C3","#88C1CA"
"337",NA,NA,17265,NA," indo1316",NA,128,128,2,-1.29,132.64,"#88C1CA",NA,"#88C1CA","#88C1CA"
"338",NA,NA,17271,NA,"ulst1241",NA,8192,16,2,54.76,-6.96,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"339",NA,NA,17282,NA,"nort2947",NA,1024,128,2,43.09,-79.06,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"340",NA,NA,17330,NA,"istr1245",NA,1024,8192,1024,45.23,13.93,"#5E9AC4",NA,"#C52B2F","#5E9AC4"
"341",NA,NA,17350,NA,"napo1241",NA,128,16,2,40.79,15.11,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"342",NA,NA,17359,NA,"",NA,1024,16,2,41.78,15.85,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"343",NA,NA,17375,NA,"emil1243",NA,16,2,2,44.59,11.21,"#F6C3C3",NA,"#F1635B","#88C1CA"
"344",NA,NA,17378,NA,"umbr1253",NA,128,8192,1024,43.23,13.63,"#88C1CA",NA,"#C52B2F","#5E9AC4"
"345",NA,NA,17403,NA,"vene1258",NA,128,16,2,45.43,12.33,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"346",NA,NA,17414,NA,"stan1289",NA,16,16,2,38.91,1.42,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"347",NA,NA,17436,NA,"yawa1261",NA,8192,16,2,-12.51,-53.42,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"348",NA,NA,17469,NA,"jaku1244",NA,8192,8192,8,2.65,103.34,"#C52B2F",NA,"#C52B2F","#C52B2F"
"349",NA,NA,17474,NA,"jeha1242",NA,1024,128,2,5.64,101.54,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"350",NA,NA,17480,NA,"jama1262",NA,8192,8192,64,18.11,-77.29,"#C52B2F",NA,"#C52B2F","#F1635B"
"351",NA,NA,17502,NA,"toky1238",NA,2,16,2,35.69,139.69,"#F1635B",NA,"#F6C3C3","#88C1CA"
"352",NA,NA,17535,NA,"jara1263",NA,8192,16,2,10.12,9.83,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"353",NA,NA,17546,NA,"jaun1243",NA,8192,8192,1024,30.56,77.91,"#C52B2F",NA,"#C52B2F","#5E9AC4"
"354","Ib2","xd751",17557,"Javanese","java1254","4",2,16,2,-6.27,106.79,"#F1635B","#F1635B","#F6C3C3","#88C1CA"
"355",NA,NA,17579,NA,"loui1240",NA,8192,16,2,29.95,-90.07,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"356",NA,NA,17584,NA,"yidd1255",NA,8192,2,2,40.71,-74.01,"#C52B2F",NA,"#F1635B","#88C1CA"
"357",NA,NA,17587,NA,"fala1246",NA,1024,1024,2,13.34,37.13,"#5E9AC4",NA,"#5E9AC4","#88C1CA"
"358",NA,NA,17599,NA,"jude1265",NA,16,16,2,33.89,-7.58,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"359",NA,NA,17609,NA,"jude1263",NA,128,1024,2,33.81,10.84,"#88C1CA",NA,"#5E9AC4","#88C1CA"
"360",NA,NA,17610,NA,"yidd1255",NA,128,16,2,40.71,-74.01,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"361",NA,NA,17661,NA,"jing1260",NA,8192,8192,8192,26.68,97.23,"#C52B2F",NA,"#C52B2F",NA
"362",NA,NA,17667,NA,"achu1248",NA,1024,16,2,-2.83,-77.26,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"363","Eg7","xd683",17689,"Hill Bhuiya","oriy1255",NA,128,1024,2,28.02,76.78,"#88C1CA",NA,"#5E9AC4","#88C1CA"
"364",NA,NA,17700,NA,"hebr1245",NA,16,16,2,31.05,34.85,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"365",NA,NA,17733,NA,"juru1256",NA,1024,128,2,-10.94,-53.35,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"366","Ag49","xd287",17755,"Kabre","kabi1261","2",8192,128,2,8.97,0.82,"#C52B2F","#88C1CA","#88C1CA","#88C1CA"
