"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"1",NA,NA,10000,NA,"area1240",NA,8192,8192,8192,-9.21,161.16,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"2",NA,NA,10027,NA,"luyi1234",NA,8192,128,2,0.22,34.82,"Atlantic-Congo","#5E9AC4",NA,"#88C1CA","#88C1CA"
"3","Ie15","xd791",10033,"Abelam","ambu1247","1",8192,128,2,-4.33,143.25,"Ndu","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"4","Ci12","xd577",10055,"Abkhaz","abkh1244","4",8192,8192,1024,44.32,39.98,"Abkhaz-Adyge","#5E9AC4","#F1635B","#C52B2F","#5E9AC4"
"5","Ee1","xd653",10077,"Adi","bori1243","3",16,8192,2,27.63,94.35,"Sino-Tibetan","#F6C3C3","#F6C3C3","#C52B2F","#88C1CA"
"6",NA,NA,10099,NA,"acol1236",NA,8192,128,2,3.06,32.54,"Nilotic","#5E9AC4",NA,"#88C1CA","#88C1CA"
"7",NA,NA,10137,NA,"hara1271",NA,128,8192,8,9.31,42.12,"Afro-Asiatic","#F1635B",NA,"#C52B2F","#C52B2F"
"8","Ie26","xd803",10140,"Ngarawapum","adze1240","1",8192,128,2,-6.39,146.29,"Austronesian","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"9","Ca6","xd454",10143,"Afar","afar1241","3",1024,128,2,12.23,41.81,"Afro-Asiatic","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"10",NA,NA,10176,NA,"pash1269",NA,128,16,2,34.02,71.15,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"11",NA,NA,10209,NA,"sakh1245",NA,8192,8192,8192,47.23,142.87,"Ainu","#5E9AC4",NA,"#C52B2F",NA
"12",NA,NA,10220,NA,"siss1243",NA,128,16,2,-3.15,142.35,"Austronesian","#F1635B",NA,"#F6C3C3","#88C1CA"
"13","Ih5","xd871",10231,"Ajie","ajie1238","1",8192,8192,2,-21.31,165.47,"Austronesian","#5E9AC4","#5E9AC4","#C52B2F","#88C1CA"
"14",NA,NA,10247,NA,"soma1255",NA,8192,1024,64,1.81,44.82,"Afro-Asiatic","#5E9AC4",NA,"#5E9AC4","#F1635B"
"15","Sg5","xd1387",10264,"Alacaluf","qawa1238","1",1024,16,2,-54.79,-70.14,"Kawesqar","#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"16",NA,NA,10286,NA,"cent2127",NA,1024,128,2,60.31,-161.49,"Eskimo-Aleut","#C52B2F",NA,"#88C1CA","#88C1CA"
"17","Ce1","xd528",10297,"Gheg","gheg1238",NA,128,16,2,42.32,21.38,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"18",NA,NA,10374,NA,"swis1247",NA,8192,8192,2,47.05,8.46,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"19","Aj17","xd392",10396,"Alur","alur1250","4",8192,16,2,2.36,31.01,"Nilotic","#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"20","Se8","xd1372",10407,"Amahuaca","amah1246","1",8192,8192,8192,-10.21,-72.32,"Pano-Tacanan","#5E9AC4","#5E9AC4","#C52B2F",NA
"21",NA,NA,10418,NA,"oshi1235",NA,128,16,2,28.27,129.35,"Japonic","#F1635B",NA,"#F6C3C3","#88C1CA"
"22","Ca40","xd449",10442,"Baditu","koor1239","4",1024,8192,8,5.81,37.87,"Ta-Ne-Omotic","#C52B2F","#F1635B","#C52B2F","#C52B2F"
"23",NA,NA,10445,NA,"anta1255",NA,8192,8192,8192,-18.89,47.53,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"24",NA,NA,10451,NA,"amdo1237",NA,NA,NA,NA,34.52,111.48,"Sino-Tibetan",NA,NA,NA,NA
"25","Ca7","xd455",10495,"Amhara","amha1245","5",128,16,2,11.71,39.54,"Afro-Asiatic","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"26","Ia9","xd749",10506,"Ami","amis1246",NA,8192,128,2,23.09,121.35,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"27","Ah9","xd336",10528,"Anaguta","igut1238","2",8192,16,2,9.89,8.85,"Atlantic-Congo","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"28",NA,NA,10555,NA,"bukh1238",NA,2,16,2,39.76,64.45,"Indo-European","#88C1CA",NA,"#F6C3C3","#88C1CA"
"29",NA,NA,10572,NA,"anda1279",NA,16,16,2,36.53,-6.28,"Indo-European","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"30",NA,NA,10583,NA,"jara1245",NA,1024,8192,8,11.61,92.66,"Jawara-Onge","#C52B2F",NA,"#C52B2F","#C52B2F"
"31",NA,NA,10594,NA,"andh1242",NA,128,8192,64,19.47,77.72,"Indo-European","#F1635B",NA,"#C52B2F","#F1635B"
"32",NA,NA,10605,NA,"baha1260",NA,8192,8192,8192,24.71,-78.05,"Indo-European","#5E9AC4",NA,"#C52B2F",NA
"33","Ei13","xd700",10627,"Angami","anga1288","3",16,128,2,26.15,94.56,"Sino-Tibetan","#F6C3C3","#F6C3C3","#88C1CA","#88C1CA"
"34","Ah16","xd305",10649,"Angas","ngas1240","4",1024,16,2,9.99,8.82,"Afro-Asiatic","#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"35",NA,NA,10671,NA,"cari1284",NA,8192,8192,2,18.23,-63.05,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"36","Ad45","xd115",10682,"Nyankole","nyan1307","5",8192,8192,1024,-0.46,30.55,"Atlantic-Congo","#5E9AC4","#C52B2F","#C52B2F","#5E9AC4"
"37","Cj10","xd587",10771,"Madan","meso1252","4",2,2,2,33.22,43.67,"Afro-Asiatic","#88C1CA","#F1635B","#F1635B","#88C1CA"
"38","Sg2","xd1384",10814,"Mapuche","mapu1245","3",8192,16,2,-40.07,-71.01,"Araucanian","#5E9AC4","#F6C3C3","#F6C3C3","#88C1CA"
"39",NA,NA,10825,NA,"araw1283",NA,1024,16,2,-5.17,151.75,"Austronesian","#C52B2F",NA,"#F6C3C3","#88C1CA"
"40","Ch11","xd548",10827,"Russians","russ1263","4",1024,16,2,58.41,50.21,"Indo-European","#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"41",NA,NA,10847,NA,NA,NA,8192,16,2,-34.71,-66.36,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"42",NA,NA,10858,NA,"roma1327",NA,16,16,2,45.07,24.81,"Indo-European","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"43",NA,NA,10885,NA,"clas1256",NA,128,128,2,40.06,45.03,"Indo-European","#F1635B",NA,"#88C1CA","#88C1CA"
"44",NA,NA,10891,NA,"aruu1241",NA,16,128,2,-6.17,134.51,"Austronesian","#F6C3C3",NA,"#88C1CA","#88C1CA"
"45",NA,NA,10902,NA,"arom1237",NA,16,8192,8192,42.06,22.65,"Indo-European","#F6C3C3",NA,"#C52B2F",NA
"46",NA,NA,10929,NA,"arsi1238",NA,1024,16,2,5.63,39.75,"Afro-Asiatic","#C52B2F",NA,"#F6C3C3","#88C1CA"
"47",NA,NA,10962,NA,"casu1237",NA,8192,1024,2,-5.81,138.47,"Nuclear Trans New Guinea","#5E9AC4",NA,"#5E9AC4","#88C1CA"
"48",NA,NA,10973,NA,"astu1246",NA,8192,16,2,43.33,-5.99,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"49",NA,NA,10979,NA,"ahte1237",NA,1024,128,2,62.75,-144.32,"Athapaskan-Eyak-Tlingit","#C52B2F",NA,"#88C1CA","#88C1CA"
"50",NA,NA,11067,NA,"aush1241",NA,8192,8192,256,-11.63,29.02,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"51",NA,NA,11078,NA,"wadj1254",NA,8192,16,2,-12.86,130.74,"Wadjiginy (language isolate)","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"52",NA,NA,11080,NA,NA,NA,1024,16,2,-32.16,147.02,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"53",NA,NA,11133,NA,"sout2996",NA,8192,128,2,-17.14,-70.34,"Aymaran","#5E9AC4",NA,"#88C1CA","#88C1CA"
"54",NA,NA,11144,NA,"ayor1240",NA,2,16,2,-19.22,-60.22,"Zamucoan","#88C1CA",NA,"#F6C3C3","#88C1CA"
"55","Ai3","xd359",11155,"Azande","zand1248","4",1024,8192,1024,4.62,26.72,"Atlantic-Congo","#C52B2F","#F1635B","#C52B2F","#5E9AC4"
"56",NA,NA,11160,NA,"mode1262",NA,2,16,2,40.98,46.47,"Turkic","#88C1CA",NA,"#F6C3C3","#88C1CA"
"57",NA,NA,11210,NA,"baba1274",NA,128,8192,64,-7.92,129.75,"Austronesian","#F1635B",NA,"#C52B2F","#F1635B"
"58",NA,NA,11215,NA,"akan1250",NA,8192,8192,8192,1.68,16.16,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F",NA
"59",NA,NA,11259,NA,"sang1343",NA,NA,NA,NA,36.73,70.81,"Indo-European",NA,NA,NA,NA
"60",NA,NA,11281,NA,"baeg1237",NA,8192,16,2,-8.49,160.77,"Austronesian","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"61",NA,NA,11309,NA,"suda1236",NA,1024,128,2,14.67,13.51,"Afro-Asiatic","#C52B2F",NA,"#88C1CA","#88C1CA"
"62",NA,NA,11342,NA,"hema1238",NA,16,1024,2,-0.46,30.55,"Atlantic-Congo","#F6C3C3",NA,"#5E9AC4","#88C1CA"
"63",NA,NA,11364,NA,"hema1238",NA,16,16,2,-0.46,30.55,"Atlantic-Congo","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"64","Ae10","xd128",11375,"Banyaruanda","kiny1244","5",8192,16,2,-1.57,29.64,"Atlantic-Congo","#5E9AC4","#C52B2F","#F6C3C3","#88C1CA"
"65",NA,NA,11377,NA,"arab1395",NA,8192,16,2,26.26,50.62,"Afro-Asiatic","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"66",NA,NA,11380,NA,"nort2724",NA,128,16,2,25.61,100.26,"Sino-Tibetan","#F1635B",NA,"#F6C3C3","#88C1CA"
"67",NA,NA,11397,NA,"baja1260",NA,1024,16,2,6.01,116.12,"Austronesian","#C52B2F",NA,"#F6C3C3","#88C1CA"
"68",NA,NA,11402,NA,"bain1263",NA,8192,128,2,-4.89,151.96,"Baining","#5E9AC4",NA,"#88C1CA","#88C1CA"
"69",NA,NA,11490,NA,"nucl1736",NA,128,16,2,6.91,37.23,"Afro-Asiatic","#F1635B",NA,"#F6C3C3","#88C1CA"
"70",NA,NA,11496,NA,"west2594",NA,8192,8192,8,-4.02,138.9,"Nuclear Trans New Guinea","#5E9AC4",NA,"#C52B2F","#C52B2F"
"71","Ib3","xd752",11507,"Balinese","bali1278","5",2,16,2,-8.36,115.08,"Austronesian","#88C1CA","#C52B2F","#F6C3C3","#88C1CA"
"72",NA,NA,11518,NA,"balk1253",NA,8192,8192,8192,43.56,42.26,"Turkic","#5E9AC4",NA,"#C52B2F",NA
"73","Ag1","xd244",11529,"Bambara","bamb1269","4",8192,128,2,12.04,-9.99,"Mande","#5E9AC4","#F1635B","#88C1CA","#88C1CA"
"74",NA,NA,11584,NA,"band1344",NA,8192,128,2,3.96,16.59,"Atlantic-Congo","#5E9AC4",NA,"#88C1CA","#88C1CA"
"75",NA,NA,11600,NA,"swah1254",NA,8192,2,2,1.64,26.41,"Atlantic-Congo","#5E9AC4",NA,"#F1635B","#88C1CA"
"76",NA,NA,11606,NA,"dawa1242",NA,8192,128,2,-9.75,149.87,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"77",NA,NA,11617,NA,"lamb1269",NA,2,1024,2,16.57,76.97,"Indo-European","#88C1CA",NA,"#5E9AC4","#88C1CA"
"78","Nd63","xd1200",11639,"Bannock","bann1248","1",16,16,2,44.51,-111.17,"Uto-Aztecan","#F6C3C3","#5E9AC4","#F6C3C3","#88C1CA"
"79",NA,NA,11672,NA,"bara1369",NA,8192,128,2,-22.24,46.07,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"80","Cd1","xd507",11683,"Barabra","kenu1236",NA,128,16,2,22.67,32.19,"Nubian","#F1635B",NA,"#F6C3C3","#88C1CA"
"81","ch12","xd549",11760,"Bashkir","bash1264","4",8192,16,2,58.82,46.96,"Turkic","#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"82","Ad46","xd116",11793,"Soga","soga1242","4",8192,128,2,0.41,33.39,"Atlantic-Congo","#5E9AC4","#F1635B","#88C1CA","#88C1CA"
"83",NA,NA,11804,NA,"basq1248",NA,8192,8192,2,43.28,-1.32,"Basque (language isolate)","#5E9AC4",NA,"#C52B2F","#88C1CA"
"84","Ea6","xd605",11826,"Basseri","bass1257","3",2,16,2,29.62,52.53,"Indo-European","#88C1CA","#F6C3C3","#F6C3C3","#88C1CA"
"85",NA,NA,11859,NA,"bata1293",NA,1024,16,2,2.13,98.25,"Austronesian","#C52B2F",NA,"#F6C3C3","#88C1CA"
"86","Af9","xd243",11870,"Baule","baou1238","2",8192,8192,256,7.79,-5.06,"Atlantic-Congo","#5E9AC4","#88C1CA","#C52B2F","#F6C3C3"
"87",NA,NA,11881,NA,"bava1246",NA,8192,8192,256,47.92,13.25,"Indo-European","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"88",NA,NA,11892,NA,"gbay1279",NA,8192,8192,256,5.95,15.26,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"89",NA,NA,11925,NA,"suda1236",NA,128,16,2,15.86,33.51,"Afro-Asiatic","#F1635B",NA,"#F6C3C3","#88C1CA"
"90",NA,NA,11936,NA,"hadr1236",NA,128,128,2,15.55,48.52,"Afro-Asiatic","#F1635B",NA,"#88C1CA","#88C1CA"
"91","Cg5","xd545",11958,"Walloons","wall1255","4",8192,16,2,50.63,4.52,"Indo-European","#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"92",NA,NA,12002,NA,"bemb1257",NA,1024,8192,1024,-10.61,29.31,"Atlantic-Congo","#C52B2F",NA,"#C52B2F","#5E9AC4"
"93",NA,NA,12024,NA,"hind1269",NA,128,16,2,25.28,82.96,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"94","Ef2","xd664",12046,"Bengali","beng1280","5",128,16,2,24.01,90.12,"Indo-European","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"95",NA,NA,12084,NA,"gour1247",NA,1024,8192,8192,29.26,0.23,"Afro-Asiatic","#C52B2F",NA,"#C52B2F",NA
"96",NA,NA,12112,NA,"mala1537",NA,8192,8192,8192,-21.14,47.14,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"97",NA,NA,12134,NA,"panj1256",NA,128,1024,2,30.79,76.78,"Indo-European","#F1635B",NA,"#5E9AC4","#88C1CA"
"98",NA,NA,12145,NA,"bhil1254",NA,128,128,2,23.25,77.41,"Indo-European","#F1635B",NA,"#88C1CA","#88C1CA"
"99",NA,NA,12156,NA,"kenh1234",NA,128,16,2,27.67,85.63,"Sino-Tibetan","#F1635B",NA,"#F6C3C3","#88C1CA"
"100","Eg8","xd684",12178,"Kol","mund1320",NA,16,16,2,22.42,86.34,"Austroasiatic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"101",NA,NA,12205,NA,"beam1240",NA,8192,8192,256,-6.29,142.23,"Bosavi","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"102",NA,NA,12260,NA,"bine1240",NA,8192,16,2,-7.58,142.36,"Eastern Trans-Fly","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"103","Sa7","xd1323",12321,"Garifuna","gari1256","1",8192,8192,64,15.35,-86.91,"Arawakan","#5E9AC4","#5E9AC4","#C52B2F","#F1635B"
"104",NA,NA,12337,NA,"blan1242",NA,8192,16,2,22.01,99.74,"Austroasiatic","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"105",NA,NA,12343,NA,"siks1238",NA,128,128,2,49.51,-113.18,"Algic","#F1635B",NA,"#88C1CA","#88C1CA"
"106",NA,NA,12387,NA,"kire1240",NA,1024,128,2,-4.27,144.97,"Lower Sepik-Ramu","#C52B2F",NA,"#88C1CA","#88C1CA"
"107","Ch3","xd567",12409,"Czechs","czec1258","4",8192,16,2,50.08,14.43,"Indo-European","#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"108",NA,NA,12480,NA,"bong1284",NA,1024,128,2,0.37,16.61,"Atlantic-Congo","#C52B2F",NA,"#88C1CA","#88C1CA"
"109",NA,NA,12483,NA,"bond1245",NA,1024,1024,2,19.15,83.81,"Austroasiatic","#C52B2F",NA,"#5E9AC4","#88C1CA"
"110",NA,NA,12530,NA,"huit1251",NA,8192,128,2,-1.55,-73.11,"Huitotoan (language isolate)","#5E9AC4",NA,"#88C1CA","#88C1CA"
"111",NA,NA,12546,NA,"bora1272",NA,8192,8192,8192,1.06,37.88,"Afro-Asiatic","#5E9AC4",NA,"#C52B2F",NA
"112","Ch1","xd546",12563,"Serbs","serb1264","4",2,16,2,42.93,17.67,"Indo-European","#88C1CA","#F1635B","#F6C3C3","#88C1CA"
"113","Cf4","xd539",12591,"Brazilians","braz1246","5",8192,16,2,-7.71,-42.72,"Indo-European","#5E9AC4","#C52B2F","#F6C3C3","#88C1CA"
"114","Cf4","xd539",12594,"Brazilians","braz1246","5",8192,16,2,-23.55,-46.63,"Indo-European","#5E9AC4","#C52B2F","#F6C3C3","#88C1CA"
"115","Cf4","xd539",12596,"Brazilians","braz1246","5",8192,128,2,-12.97,-38.47,"Indo-European","#5E9AC4","#C52B2F","#88C1CA","#88C1CA"
"116",NA,NA,12607,NA,"bret1244",NA,1024,16,2,48.25,-2.93,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"117",NA,NA,12640,NA,"roma1327",NA,16,16,2,44.43,26.11,"Indo-European","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"118","Ae31","xd151",12662,"Budu","budu1250","2",8192,16,2,2.01,27.95,"Atlantic-Congo","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"119",NA,NA,12698,NA,"buin1247",NA,8192,128,2,-6.75,155.69,"South Bougainville","#5E9AC4",NA,"#88C1CA","#88C1CA"
"120",NA,NA,12739,NA,"Bulgarian: bulg1262; Macedonian: mace1250",NA,128,16,2,42.02,23.09,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"121","Ch5","xd569",12750,"Bulgarians","bulg1262","4",128,16,2,41.61,24.69,"Indo-European","#F1635B","#F1635B","#F6C3C3","#88C1CA"
"122","Ch5","xd569",12761,"Bulgarians","bulg1262","4",8192,8192,8,42.69,23.32,"Indo-European","#5E9AC4","#F1635B","#C52B2F","#C52B2F"
"123",NA,NA,12772,NA,"thra1250",NA,128,16,2,41.06,23.95,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"124",NA,NA,12783,NA,"bulu1251",NA,8192,8192,256,3.16,11.64,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"125",NA,NA,12794,NA,"kimb1241",NA,8192,8192,8192,-8.98,14.89,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F",NA
"126","Ih3","xd869",12816,"Bunlap","saaa1241","2",8192,16,2,-15.95,168.26,"Austronesian","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"127","Ca14","xd420",12838,"Burji","burj1242","3",1024,8192,8192,4.45,38.46,"Afro-Asiatic","#C52B2F","#F6C3C3","#C52B2F",NA
"128","Ei3","xd709",12849,"Burmese","nucl1310","4",128,16,2,20.79,93.97,"Sino-Tibetan","#F1635B","#F1635B","#F6C3C3","#88C1CA"
"129","Ee2","xd654",12860,"Burusho","buru1296",NA,16,16,2,36.22,74.82,"Burushaski (language isolate)","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"130",NA,NA,12871,NA,"buri1258",NA,16,16,2,53.81,109.33,"Mongolic-Khitan","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"131",NA,NA,12904,NA,"mume1239",NA,8192,16,2,-6.83,146.67,"Austronesian","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"132",NA,NA,12920,NA,"bouy1240",NA,128,2,2,24.85,106.71,"Tai-Kadai","#F1635B",NA,"#F1635B","#88C1CA"
"133",NA,NA,12923,NA,"agob1245",NA,8192,128,2,-10.51,142.25,"Pahoturi","#5E9AC4",NA,"#88C1CA","#88C1CA"
"134","Ig16","xd848",12931,"Bwaidoga","bwai1242",NA,8192,8192,8,-9.51,150.31,"Austronesian","#5E9AC4",NA,"#C52B2F","#C52B2F"
"135","Ch6","xd570",12948,"Byelorussians","bela1254",NA,1024,16,2,53.71,27.95,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"136",NA,NA,13025,NA,"kain1272",NA,8192,128,2,-26.73,-52.06,"Nuclear-Macro-Je","#5E9AC4",NA,"#88C1CA","#88C1CA"
"137",NA,NA,13036,NA,"para1311",NA,8192,128,2,-24.59,-54.68,"Tupian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"138",NA,NA,13080,NA,"sana1297",NA,8192,16,2,12.54,-81.72,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"139","Si5","xd1402",13102,"Kamayurá","kama1373","1",8192,128,2,-12.27,-53.47,"Tupian","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"140",NA,NA,13124,NA,"khme1253",NA,16,16,2,12.05,105.02,"Austroasiatic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"141",NA,NA,13135,NA,"asha1243",NA,1024,8192,8192,-11.93,-73.91,"Arawakan","#C52B2F",NA,"#C52B2F",NA
"142",NA,NA,13140,NA,"cana1268",NA,1024,16,2,51.25,-85.32,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"143",NA,NA,13157,NA,"cant1236",NA,128,16,2,23.13,113.27,"Sino-Tibetan","#F1635B",NA,"#F6C3C3","#88C1CA"
"144","Sj1","xd1407",13168,"Carajá","kara1500","2",8192,16,2,-11.19,-50.35,"Nuclear-Macro-Je","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"145","Na22","xd1025",13190,"Iglulik Inuit","west2618","1",1024,128,2,67.38,-88.01,"Eskimo-Aleut","#C52B2F","#5E9AC4","#88C1CA","#88C1CA"
"146",NA,NA,13223,NA,"gren1247",NA,8192,128,2,12.47,-61.44,"Indo-European","#5E9AC4",NA,"#88C1CA","#88C1CA"
"147",NA,NA,13234,NA,"carr1248",NA,8192,16,2,54.38,-124.33,"Athapaskan-Eyak-Tlingit","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"148",NA,NA,13256,NA,"kasi1256",NA,128,16,2,16.22,121.88,"Austronesian","#F1635B",NA,"#F6C3C3","#88C1CA"
"149",NA,NA,13289,NA,NA,NA,1024,128,2,-22.6,-64.68,"Quechuan","#C52B2F",NA,"#88C1CA","#88C1CA"
"150","Sf3","xd1376",13300,"Chachi","chac1249","1",1024,16,2,0.71,-79.05,"Barbacoan","#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"151","Ch11","xd548",13321,"Russians","russ1263","4",128,8192,1024,47.27,39.79,"Indo-European","#F1635B","#F1635B","#C52B2F","#5E9AC4"
"152","Ch11","xd548",13322,"Russians","russ1263","4",8192,8192,256,53.51,45.62,"Indo-European","#5E9AC4","#F1635B","#C52B2F","#F6C3C3"
"153",NA,NA,13333,NA,"hind1269",NA,2,128,2,22.86,77.87,"Indo-European","#88C1CA",NA,"#88C1CA","#88C1CA"
"154",NA,NA,13388,NA,"chag1250",NA,8192,8192,64,-3.34,37.34,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F1635B"
"155",NA,NA,13399,NA,"chah1241",NA,2,8192,8,46.86,103.85,"Mongolic-Khitan","#88C1CA",NA,"#C52B2F","#C52B2F"
"156","Ci7","xd583",13476,"Chechen","chec1245",NA,128,16,2,43.41,45.71,"Nakh-Dagestanian","#F1635B",NA,"#F6C3C3","#88C1CA"
"157",NA,NA,13520,NA,"mari1278",NA,8192,16,2,57.08,58.83,"Uralic","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"158","Ne5","xd1224",13553,"Cheyenne","chey1247","1",128,16,2,45.53,-106.66,"Algic","#F1635B","#5E9AC4","#F6C3C3","#88C1CA"
"159",NA,NA,13558,NA,"tzot1259",NA,NA,NA,NA,16.42,-92.42,"Mayan",NA,NA,NA,NA
"160","Sb2","xd1327",13597,"Cágaba","cogu1240","2",8192,16,2,10.48,-73.25,"Chibchan","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"161","Ce6","xd533",13630,"Spaniards","stan1288",NA,8192,16,2,-35.68,-71.54,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"162",NA,NA,13663,NA,"beij1234",NA,16,16,2,39.91,116.41,"Sino-Tibetan","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"163",NA,NA,NA,NA,NA,NA,128,16,2,NA,NA,NA,"#F1635B",NA,"#F6C3C3","#88C1CA"
"164",NA,NA,13665,NA,"hang1257",NA,16,128,2,30.65,104.07,"Sino-Tibetan","#F6C3C3",NA,"#88C1CA","#88C1CA"
"165","Ed15b","xd643",13668,"Chekiang","wuch1236","4",16,16,2,29.02,114.83,"Sino-Tibetan","#F6C3C3","#F1635B","#F6C3C3","#88C1CA"
"166",NA,NA,13701,NA,"chip1262",NA,8192,128,2,-18.74,-67.91,"Uru-Chipaya","#5E9AC4",NA,"#88C1CA","#88C1CA"
"167",NA,NA,13718,NA,"nucl1723",NA,1024,16,2,46.57,-84.15,"Algic","#C52B2F",NA,"#F6C3C3","#88C1CA"
"168","Sa4","xd1320",13762,"Emberá","nort2972","1",NA,NA,NA,7.53,-76.75,"Chocoan",NA,"#5E9AC4",NA,NA
"169","Ng12","xd1247",13773,"Choctaw","choc1276","1",8192,16,2,33.91,-94.82,"Muskogean","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"170",NA,NA,13784,NA,"choi1242",NA,1024,8192,2,-6.83,156.66,"Austronesian","#C52B2F",NA,"#C52B2F","#88C1CA"
"171","Ac12","xd36",13795,"Chokwe","chok1245","4",8192,8192,1024,-9.66,21.41,"Atlantic-Congo","#5E9AC4","#F1635B","#C52B2F","#5E9AC4"
"172",NA,NA,13806,NA,"chop1243",NA,8192,8192,2,-24.83,34.11,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#88C1CA"
"173","Ec3","xd631",13850,"Chukchi","chuk1273","3",1024,16,2,68.64,170.04,"Chukotko-Kamchatkan","#C52B2F","#F6C3C3","#F6C3C3","#88C1CA"
"174","ch14","xd551",13883,"Chuvash","chuv1255","2",8192,8192,64,55.49,47.16,"Turkic","#5E9AC4","#88C1CA","#C52B2F","#F1635B"
"175",NA,NA,13894,NA,"roma1327",NA,128,16,2,46.76,23.58,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"176",NA,NA,13927,NA,"coca1260",NA,NA,NA,NA,-10.68,-73.61,"Tupian",NA,NA,NA,NA
"177",NA,NA,13971,NA,"pale1260",NA,8192,8192,1024,10.13,-75.21,"Indo-European","#5E9AC4",NA,"#C52B2F","#5E9AC4"
"178",NA,NA,13982,NA,NA,NA,8192,8192,256,11.24,-74.2,"Indo-European","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"179","Sf5","xd1378",13987,"Páez","paez1247",NA,NA,NA,NA,2.62,-76.31,"Paez (language isolate)",NA,NA,NA,NA
