"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"632","Ia1","xd732",24696,"Atayal","atay1247","2",8192,128,2,24.52,121.39,"Austronesian","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"633","Eh8","xd694",24707,"Sakalava","saka1291","4",8192,8192,256,-17.51,43.75,"Austronesian","#5E9AC4","#F1635B","#C52B2F","#F6C3C3"
"634",NA,NA,24740,NA,"cent2129",NA,8192,16,2,48.72,-123.04,"Salishan","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"635","Ii1","xd876",24795,"American Samoans","samo1305","3",8192,8192,1024,-13.65,-172.36,"Austronesian","#5E9AC4","#F6C3C3","#C52B2F","#5E9AC4"
"636","Ii14","xd880",24795,"Upolu Samoans","samo1305","3",8192,8192,1024,-13.65,-172.36,"Austronesian","#5E9AC4","#F6C3C3","#C52B2F","#5E9AC4"
"637",NA,NA,24806,NA,"nene1251",NA,128,16,2,66.18,71.02,"Uralic","#F1635B",NA,"#F6C3C3","#88C1CA"
"638","Nh11","xd1261",24811,"San Ildefonso","sani1273","1",8192,128,2,35.91,-106.12,"Kiowa-Tanoan","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"639","Aa6","xd6",24828,"Sandawe","sand1273","1",8192,128,2,-5.27,35.48,"Sandawe (language isolate)","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"640","Ef1","xd661",24916,"Santal","sant1410","1",128,128,8,25.03,87.82,"Austroasiatic","#F1635B","#5E9AC4","#88C1CA","#C52B2F"
"641",NA,NA,25053,NA,"savo1255",NA,8192,8192,8192,-9.13,159.81,"Savosavo (language isolate)","#5E9AC4",NA,"#C52B2F",NA
"642",NA,NA,25070,NA,"scot1245",NA,8192,128,2,56.98,-7.47,"Indo-European","#5E9AC4",NA,"#88C1CA","#88C1CA"
"643",NA,NA,25071,NA,"scot1243",NA,8192,16,2,57.14,-2.09,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"644",NA,NA,25081,NA,"mada1298",NA,8192,128,2,-5.13,145.59,"Nuclear Trans New Guinea","#5E9AC4",NA,"#88C1CA","#88C1CA"
"645",NA,NA,25163,NA,"sema1265",NA,16,16,2,4.12,101.82,"Austroasiatic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"646","Ej14","xd721",25180,"Senoi","sema1266","1",16,8192,8,4.13,101.48,"Austroasiatic","#F6C3C3","#5E9AC4","#C52B2F","#C52B2F"
