"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"584","Ac2","xd44",23563,"Pende","phen1239",4,5,8192,128,2,-5.65,19.83,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"588","Sc8","xd1351",23640,"Piaroa","piar1243",1,1,8192,128,2,4.42,-67.76,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"591","Ni6","xd1291",23695,"Pima","akim1239",1,2,1024,128,2,28.65,-108.33,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"595","Nc18","xd1116",23849,"Eastern Pomo","east2545",2,5,1024,16,2,38.56,-122.59,"#5E9AC4","#88C1CA","#F6C3C3","#88C1CA","#C52B2F"
"601","Ii3","xd882",23981,"Pukapukans","puka1242",1,6,8192,8192,256,-10.84,-165.83,"#C52B2F","#5E9AC4","#C52B2F","#F6C3C3",NA
"604","Ie8","xd822",24025,"Purari","pura1257",2,3,8192,8192,8,-7.59,145.04,"#C52B2F","#88C1CA","#C52B2F","#C52B2F","#F6C3C3"
"605","Nh26","xd1277",24052,"Santa Clara","sant1421",NA,NA,128,16,2,35.97,-106.09,"#88C1CA",NA,"#F6C3C3","#88C1CA",NA
"610","Ca3","xd437",24195,"Tigrinya","tigr1271",5,2,1024,8192,256,17.44,38.36,"#5E9AC4","#C52B2F","#C52B2F","#F6C3C3","#88C1CA"
"611","Ii10","xd877",24245,"Rennell Islanders","renn1242",4,NA,8192,8192,8,-11.66,160.21,"#C52B2F","#F1635B","#C52B2F","#C52B2F",NA
"612","Ej10","xd717",24278,"Rade","rade1240",2,2,8192,16,2,14.06,108.28,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"622","Eg2","xd678",24540,"Tamil","tami1289",5,2,2,16,2,13.08,80.27,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"624","Nd51","xd1187",24575,"Moapa","sout2969",1,6,8192,128,2,40.08,-119.54,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"625","Nd52","xd1188",24575,"Shivwits","sout2969",1,6,8192,128,2,40.08,-119.54,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"626","Nd53","xd1189",24575,"Southern Paiute (Kaibab)","sout2969",1,5,8192,128,2,40.08,-119.54,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"627","Nd55","xd1189",24575,"Southern Paiute (Las Vegas)","sout2969",1,5,8192,128,2,40.08,-119.54,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"628","Nd56","xd1192",24575,"San Juan","sout2969",1,4,8192,128,2,40.08,-119.54,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"632","Ia1","xd732",24696,"Atayal","atay1247",1,5,8192,128,2,24.52,121.39,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"633","Eh8","xd694",24707,"Sakalava","saka1291",4,1,8192,8192,256,-17.51,43.75,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#5E9AC4"
"635","Ii1","xd876",24795,"American Samoans","samo1305",4,3,8192,8192,1024,-13.65,-172.36,"#C52B2F","#F1635B","#C52B2F","#5E9AC4","#F6C3C3"
"636","Ii14","xd880",24795,"Upolu Samoans","samo1305",4,2,8192,8192,1024,-13.65,-172.36,"#C52B2F","#F1635B","#C52B2F","#5E9AC4","#88C1CA"
"638","Nh11","xd1261",24811,"San Ildefonso","sani1273",1,1,8192,128,2,35.91,-106.12,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"639","Aa6","xd6",24828,"Sandawe","sand1273",1,5,8192,128,2,-5.27,35.48,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"640","Ef1","xd661",24916,"Santal","sant1410",1,4,128,128,8,25.03,87.82,"#88C1CA","#5E9AC4","#88C1CA","#C52B2F","#F1635B"
