canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
3552,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,25.09,85.31,0.15,0.92,0.38,0.31,0.08,0.08,0.54,0.54,0.54,0.54,0.85,0.08,0.85,0.69,0.69,0.15,0.42,0.08,0.31,1.0,0.31,0.08,0.08,0.85,0.54,0.69,0.69,0.38,0.54,0.54,0.08,0.42,0.23,0.31,0.54,0.77,0.31
3553,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.15,0.69,0.38,0.31,0.08,0.08,0.77,0.54,1.0,0.08,0.46,0.08,0.46,0.54,0.69,0.31,0.42,0.08,0.31,0.77,0.54,0.08,0.54,0.38,0.77,0.69,0.69,0.38,0.54,0.08,0.54,0.77,0.62,0.77,0.77,0.77,0.31
3554,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.15,0.62,0.38,0.31,0.08,0.08,0.54,0.31,0.77,0.08,0.85,0.08,0.85,0.69,0.69,0.08,0.77,0.08,0.31,0.77,0.31,0.08,0.08,0.23,0.54,0.38,0.38,0.08,0.54,0.08,1.0,0.42,0.08,0.08,0.31,0.77,0.31
3555,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.46,0.46,0.46,0.54,0.31,0.54,0.54,1.0,0.77,0.08,0.85,0.23,0.85,0.54,1.0,0.92,0.77,1.0,0.08,0.31,0.31,0.08,1.0,0.38,0.31,0.08,0.38,0.08,0.54,0.08,1.0,0.77,0.23,0.31,0.54,0.77,0.54
3556,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.54,0.69,0.62,0.77,0.31,0.31,0.54,0.31,0.31,0.77,1.0,0.38,0.69,0.54,0.08,0.77,0.77,1.0,0.08,0.54,0.31,0.08,0.31,0.69,1.0,0.08,0.69,0.38,0.54,0.77,1.0,0.54,0.23,0.08,0.31,0.08,0.77
3557,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,22.56,88.36,0.15,0.69,0.54,0.31,0.08,0.08,0.77,0.54,0.31,0.08,1.0,0.08,1.0,0.69,0.69,0.08,0.31,0.08,0.69,0.77,0.31,0.08,0.08,0.23,0.77,0.08,1.0,0.08,0.54,0.08,0.54,0.42,0.08,0.08,0.54,0.31,0.31
3763,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,18.94,81.9,0.15,0.23,0.38,0.31,0.08,0.08,1.0,0.77,0.77,0.31,0.23,0.08,0.46,0.85,0.69,0.31,0.54,0.85,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,1.0,0.69,0.54,0.31,1.0,0.54,0.0,0.0,0.0,0.42,0.77
3764,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,28.13,95.83,0.62,0.69,0.62,0.77,0.31,0.42,1.0,0.77,0.77,0.54,0.69,0.31,0.69,0.38,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.08,0.31,0.77,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.42,0.23,0.31,0.54,0.54,0.77
3765,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.38,0.15,0.46,0.54,0.54,0.77,0.54,0.77,0.77,0.31,0.69,0.23,0.69,0.54,0.69,0.46,0.54,0.62,0.31,0.54,0.54,0.08,0.54,0.69,0.54,1.0,1.0,0.38,0.54,0.31,1.0,0.54,0.62,0.54,0.54,0.54,0.54
3766,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.35,0.23,0.08,0.08,0.69,0.23,0.77,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.77,0.38,1.0,0.69,1.0,0.54,1.0,0.42,0.62,0.31,0.54,0.31,0.77
