canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
851,South Asia,India,C India/ Central Tribal Area,Maharashtra,"Toda, Gond",21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.38,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
852,South Asia,India,C India/ Central Tribal Area,Maharashtra,"Toda, Gond",21.14,79.08,0.69,0.23,0.69,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.69,0.31,0.08,0.31,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
972,South Asia,India,Dravidian Deccan,N E Sri Lanka/ Tamil Nadu,Madras,13.08,80.27,0.31,0.15,0.38,0.31,0.08,0.08,0.54,0.54,1.0,0.08,0.85,0.08,0.46,0.69,0.69,0.69,0.31,1.0,0.69,0.54,0.31,0.08,0.31,0.85,0.77,1.0,1.0,0.69,0.54,0.08,1.0,0.42,0.23,0.31,0.31,0.54,0.31
973,South Asia,India,Dravidian Deccan,N E Sri Lanka/ Tamil Nadu,Madras,13.08,80.27,0.62,0.62,0.38,0.42,0.54,0.54,1.0,0.54,1.0,0.08,0.46,0.23,0.46,0.69,0.69,0.23,0.31,0.08,0.08,0.77,0.31,0.08,0.31,0.85,0.77,1.0,1.0,0.69,0.54,0.08,1.0,0.42,0.35,0.31,0.31,0.54,0.31
974,South Asia,India,Dravidian Deccan,Tamil Nadu,Madras,13.08,80.27,0.54,0.62,0.46,0.77,0.77,0.31,0.54,1.0,0.08,0.08,1.0,0.38,0.08,0.08,0.69,0.08,0.08,0.08,0.69,0.77,0.31,0.08,0.08,0.08,0.31,0.08,1.0,0.38,0.08,0.08,1.0,0.77,0.35,0.08,0.54,0.77,0.31
1843,South Asia,India,Western Ghats,Kerala,Kerala,8.52,76.93,0.69,0.23,0.38,0.54,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.23,0.54,0.08,0.31,0.31,0.31,0.08,0.54,0.69,0.77,1.0,1.0,0.69,0.54,0.54,0.54,0.31,0.23,0.31,0.54,0.31,0.54
1844,South Asia,India,Western Ghats,Kerala,Kerala,8.52,76.93,0.46,0.23,0.46,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.23,0.54,0.08,0.31,0.77,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.38,0.54,0.54,0.54,0.77,0.23,0.31,0.54,0.54,0.54
1845,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.46,0.23,0.46,0.54,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.85,0.69,0.23,0.31,0.08,0.08,0.54,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.77
1846,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.77,0.69,0.62,0.77,0.54,0.31,0.54,0.77,0.31,0.31,1.0,0.38,0.92,0.38,0.69,0.08,0.08,0.08,0.85,0.77,0.31,0.08,0.08,0.38,0.54,0.08,0.08,0.38,0.54,0.31,0.08,0.77,0.23,0.31,0.31,0.54,0.08
1847,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.15,0.54,0.08,0.85,0.77,0.31,0.08,0.31,0.38,0.54,0.69,1.0,0.69,0.54,0.31,0.08,0.54,0.35,0.31,0.54,0.54,0.08
1848,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.85,0.08,0.69,0.08,0.85,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.31,0.23,0.08,0.31,0.54,0.31
1849,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.62,0.15,0.38,1.0,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.38,0.54,0.46,0.08,0.54,0.54,0.77,0.31,0.69,0.77,1.0,1.0,0.38,1.0,0.54,0.08,0.31,0.08,0.08,0.31,0.54,0.54
1850,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.46,0.23,0.38,0.54,0.54,0.77,0.31,0.08,0.77,0.54,0.46,0.23,0.46,0.23,0.69,0.46,0.54,0.23,0.08,0.77,0.54,0.08,0.54,0.69,0.31,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.62,0.54,0.54,0.54,0.31
1851,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.62,0.23,0.46,1.0,0.77,1.0,0.54,1.0,0.77,0.54,0.46,0.23,0.46,0.23,0.69,0.85,0.54,1.0,0.08,0.54,0.54,0.62,0.31,0.77,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.31
1852,South Asia,India,Western Ghats,Kerala,Kerala,10.85,76.27,0.73,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.15,0.42,0.08,0.08,0.54,0.31,0.62,0.31,0.85,0.54,0.69,1.0,0.38,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.08
