,region
0,North
1,North
2,North
3,North
4,North
5,North
6,North
7,North
8,North
9,North
10,North
11,North
12,North
13,North
14,North
15,North
16,North
17,North
18,North
19,North
20,North
21,North
22,South
23,North
24,South
25,South
26,South
27,South
28,South
29,South
30,South
31,South
32,South
